index,id,title,douyin_url,baidu_url
0,1639,室町幕府,/wikiid/6315760686253826452?source=search,https://baike.baidu.com/item/%E5%AE%A4%E7%94%BA%E5%B9%95%E5%BA%9C
1,1643,幕府 (日本),/wikiid/6256675255248534698?source=search,https://baike.baidu.com/item/%E5%B9%95%E5%BA%9C/2811169
2,1644,后南朝,/wikiid/6115770487653730931?source=search,https://baike.baidu.com/item/%E5%90%8E%E5%8D%97%E6%9C%9D
3,916,奈佐日本助,/wikiid/5179075197133673937?source=search,https://baike.baidu.com/item/%E5%A5%88%E4%BD%90%E6%97%A5%E6%9C%AC%E5%8A%A9
4,326,后藤基次,/wikiid/9135314233783120964?source=search,https://baike.baidu.com/item/%E5%90%8E%E8%97%A4%E5%9F%BA%E6%AC%A1
5,1427,花房职秀,/wikiid/640511288557467230?source=search,https://baike.baidu.com/item/%E8%8A%B1%E6%88%BF%E8%81%8C%E7%A7%80
6,1698,上月城之战,/wikiid/4220856139830548109?source=search,https://baike.baidu.com/item/%E4%B8%8A%E6%9C%88%E5%9F%8E%E4%B9%8B%E6%88%98
7,646,谷柏直家,/wikiid/9041599775896196433?source=search,https://baike.baidu.com/item/%E8%B0%B7%E6%9F%8F%E7%9B%B4%E5%AE%B6
8,1628,京都,/wikiid/120052733634217886?source=search,https://baike.baidu.com/item/%E4%BA%AC%E9%83%BD%E5%B8%82/9488353?fromtitle=%E4%BA%AC%E9%83%BD&fromid=10290262
9,1411,织田信秀 (信长之子),,
10,1489,野野村雅春,,
11,1287,泷川益重,,
12,667,游佐续光,/wikiid/3746069202155247139?source=search,https://baike.baidu.com/item/%E6%B8%B8%E4%BD%90%E7%BB%AD%E5%85%89
13,1785,城下町,/wikiid/8369040172459513596?source=search,https://baike.baidu.com/item/%E5%9F%8E%E4%B8%8B%E7%94%BA
14,1580,龙造寺胤荣,,
15,1935,近卫前子,,https://baike.baidu.com/item/%E8%BF%91%E5%8D%AB%E5%89%8D%E5%AD%90
16,28,北条氏政,/wikiid/114931798486067643?source=search,https://baike.baidu.com/item/%E5%8C%97%E6%9D%A1%E6%B0%8F%E6%94%BF/182350
17,30,北条早云,/wikiid/865916648324137638?source=search,https://baike.baidu.com/item/%E5%8C%97%E6%9D%A1%E6%97%A9%E4%BA%91
18,305,塙直之,/wikiid/8410466486734631649?source=search,https://baike.baidu.com/item/%E5%A1%99%E7%9B%B4%E4%B9%8B
19,938,宗像氏男,/wikiid/3105822917004107457?source=search,https://baike.baidu.com/item/%E5%AE%97%E5%83%8F%E6%B0%8F%E7%94%B7
20,27,细川澄元,/wikiid/5447503567872329320?source=search,https://baike.baidu.com/item/%E7%BB%86%E5%B7%9D%E6%BE%84%E5%85%83
21,214,波多野晴通,/wikiid/7487158601142087811?source=search,https://baike.baidu.com/item/%E6%B3%A2%E5%A4%9A%E9%87%8E%E6%99%B4%E9%80%9A
22,1478,那波宗俊,,
23,1263,深水长智,,
24,1907,石部城之战,,
25,574,菅正利,/wikiid/990475415564169671?source=search,https://baike.baidu.com/item/%E8%8F%85%E6%AD%A3%E5%88%A9
26,902,大须贺忠政,,
27,1711,吉田郡山城之战,/wikiid/1497609800984649349?source=search,https://baike.baidu.com/item/%E5%90%89%E7%94%B0%E9%83%A1%E5%B1%B1%E5%9F%8E%E4%B9%8B%E6%88%98
28,416,儿玉就方,/wikiid/1975898609224198978?source=search,https://baike.baidu.com/item/%E5%84%BF%E7%8E%89%E5%B0%B1%E6%96%B9
29,950,富田隆实,,
30,764,佐久间盛政,/wikiid/1013839000660319375?source=search,https://baike.baidu.com/item/%E4%BD%90%E4%B9%85%E9%97%B4%E7%9B%9B%E6%94%BF
31,1382,籾井教业,,https://baike.baidu.com/item/%E7%B1%BE%E4%BA%95%E6%95%99%E4%B8%9A
32,955,小场义成,,
33,1702,二俣城之战,/wikiid/5345894081069336089?source=search,https://baike.baidu.com/item/%E4%BA%8C%E4%BF%A3%E5%9F%8E%E4%B9%8B%E6%88%98
34,1087,扬北众,,
35,710,下秀久,,
36,493,织田秀孝,/wikiid/104973614891679010?source=search,https://baike.baidu.com/item/%E7%BB%87%E7%94%B0%E7%A7%80%E5%AD%9D
37,632,上杉景虎,/wikiid/7800712679595119619?source=search,https://baike.baidu.com/item/%E4%B8%8A%E6%9D%89%E6%99%AF%E8%99%8E/22153
38,2061,五大老,/wikiid/2956629997376143907?source=search,https://baike.baidu.com/item/%E4%BA%94%E5%A4%A7%E8%80%81
39,1309,由良国繁,,
40,66,大友宗麟,/wikiid/4901653874787111256?source=search,https://baike.baidu.com/item/%E5%A4%A7%E5%8F%8B%E5%AE%97%E9%BA%9F/10654183
41,1327,真田信繁,/wikiid/7252262511733456896?source=search,https://baike.baidu.com/item/%E7%9C%9F%E7%94%B0%E5%B9%B8%E6%9D%91/19960?fromtitle=%E7%9C%9F%E7%94%B0%E4%BF%A1%E7%B9%81&fromid=1660567
42,1629,倭寇,/wikiid/7250037027654778891?source=search,https://baike.baidu.com/item/%E5%80%AD%E5%AF%87/290899
43,1253,河合吉统,/wikiid/1104585620979703842?source=search,https://baike.baidu.com/item/%E6%B2%B3%E5%90%88%E5%90%89%E7%BB%9F/4503134
44,393,蒲生赖乡,,
45,1590,森宗意轩,,
46,883,大友义乘,/wikiid/7083450452734055711?source=search,https://baike.baidu.com/item/%E5%A4%A7%E5%8F%8B%E4%B9%89%E4%B9%98
47,1624,一向一揆,/wikiid/3741388538374012144?source=search,https://baike.baidu.com/item/%E4%B8%80%E5%90%91%E4%B8%80%E6%8F%86
48,112,一条房家,/wikiid/869303524783530167?source=search,https://baike.baidu.com/item/%E4%B8%80%E6%9D%A1%E6%88%BF%E5%AE%B6
49,605,户田为春,,
50,1822,小田原评定,/wikiid/8002058995173465948?source=search,https://baike.baidu.com/item/%E5%B0%8F%E7%94%B0%E5%8E%9F%E8%AF%84%E5%AE%9A
51,2097,长筿之战,/wikiid/1474081963273080251?source=search,
52,2100,骏河侵攻,,
53,2102,龟姬 (德川家康长女),,
54,1602,原田孙七郎,,https://baike.baidu.com/item/%E5%8E%9F%E7%94%B0%E5%AD%99%E4%B8%83%E9%83%8E
55,127,上杉朝定 (扇谷上杉家),,
56,1113,朝仓景隆,/wikiid/8174122910054689852?source=search,https://baike.baidu.com/item/%E6%9C%9D%E4%BB%93%E6%99%AF%E9%9A%86
57,273,阿苏惟光,,
58,1825,尼子十砦,/wikiid/7332891888073746636?source=search,https://baike.baidu.com/item/%E5%B0%BC%E5%AD%90%E5%8D%81%E7%A0%A6
59,1169,松平忠定,,
60,12,朝仓贞景,/wikiid/1887030559743706496?source=search,https://baike.baidu.com/item/%E6%9C%9D%E4%BB%93%E8%B4%9E%E6%99%AF
61,1325,真壁氏干,,https://baike.baidu.com/item/%E7%9C%9F%E5%A3%81%E6%9A%97%E5%A4%9C%E8%BD%A9/3696590?fromtitle=%E7%9C%9F%E5%A3%81%E6%B0%8F%E5%B9%B2&fromid=7374461
62,256,足利政氏,,
63,691,三河三奉行,/wikiid/6309313116387864197?source=search,https://baike.baidu.com/item/%E4%B8%89%E6%B2%B3%E4%B8%89%E5%A5%89%E8%A1%8C
64,1967,小谷城,/wikiid/9030526754050653278?source=search,https://baike.baidu.com/item/%E5%B0%8F%E8%B0%B7%E5%9F%8E
65,314,远藤盛数,,
66,2077,朝觉院,/wikiid/7558619193786540687?source=search,https://baike.baidu.com/item/%E6%9C%9D%E8%A7%89%E9%99%A2
67,1741,犬山城之战,/wikiid/3661160041288574731?source=search,https://baike.baidu.com/item/%E7%8A%AC%E5%B1%B1%E5%9F%8E%E4%B9%8B%E6%88%98
68,1361,种子岛时尧,/wikiid/3023494145077738865?source=search,https://baike.baidu.com/item/%E7%A7%8D%E5%AD%90%E5%B2%9B%E6%97%B6%E5%B0%A7/1200389
